groupid;id;Anzahl_Vorhanden
;03ab50387a5b2b5493c3b2cfc62fe68d911e0eca;35.0
;03ad6104a9c6c2344748ab41f037bf043dcbba15;3.0
;03add5f130751b230c262794c051cb41bf680628;1.0
;03adfe1aefe510407a840aeac10d7047db98b7c2;1.0
;03ae3c61f1999d12336679df1dbb2d33ebac98df;1.0
;03ae960570912edebe0756bee5d47084d3d4bbd2;15.0
;03b3541df3a85e27f103f046653b480b9d8177e5;5.0
;03b3dfe8f70e4041ed88af23622632cd195013d8;1.0
;03b75cb51b63ff5ed6e18fe18c9a5fbed561400b;1.0
;03bd4fc20615e538f3d9008e46f55875982ad5b8;1.0
;03bdc3d7496938fb8ff6de1ad415be84edbcff26;18.0
;03c2d7b7511327e001ccb7bfd0f98e75e29ca3df;19.0
;03c37e51be1b64c6bab895bb633f3be9bd6183c1;1.0
;03c425eae2a447e156028ffa5f60e7aee03cf5f4;1.0
;03c6f47fe897c4dbf1668f4ab5bab7d49d703960;1.0
;03c76e8afb16d89069274474dbdcc3ba3b9099f9;1.0
;03cb9a387752cd86b5e744d1a1e6dd025ad47d8d;1.0
;03ce7a2a05c61679ecacb5720824f9904b11f7b2;2.0
;03cf86a3f1e48aff7d078d144e8749f583d3aa32;3.0
;03d7b62fab25c38a2c463ff68124f79dbcb25a10;2.0
;03db527b641b616b6f2e688da71d1127b8a6888c;13.0
;03dd44dd9150e7dfede7984b4378dabd0644b903;4.0
;03de32e0b1d12d117b5a13ddb0085e4ffa645ecd;9.0
;03e30d07e95229035031af87e689385d834cc66f;3.0
;03e497d16f5554a8fc69d688b72f3a2f74d8d612;1.0
;03e72af5146c71ecd13b7b09c8a381cc3097f2f8;1.0
;03ebf3e830dcce48b3211e339e83b351abba13ac;1.0
;03ec30189c5b17a4695f3dd924c825d0404ef90b;1.0
;03ec7cccc8c93d7fcdee2e911d7386a2cecdcabb;7.0
;03ee3165952f33c04834538540f6aaf1c8bcc15e;20.0
;03f32a8b31a67874446df805a73942bf604d4367;1.0
;03f3e6f8fcfc4e2ef96cb39ba35fd1678ec0e04b;13.0
;03f59b49727de15d4e4b9cbd78194473a11455a2;28.0
;03f691165f3b303a3655691a9ac8f54a37840323;1.0
;03f6992eb823e28780c79914bdaf2a8906477bc1;1.0
;03fd1ba8d01fc59e7a84b8fb4064a33836b0451e;2.0
;03ff61ebe746e03413ee7cf3cefe00a270771b34;1.0
;04011524f414f12791ed55c58e489fa2622c2f5a;11.0
;0404674225cc0666c03abc7ef09561d86eafb2d5;5.0
;0405f5a19ef6df2cdf9ba50a44ea1a9d406135dc;2.0
;04131fe9058fcdd1ecd8fdd0a892e978d0d0fbfe;2.0
;04193c3223c0ad571be8441159a2e512245cb2c5;3.0
;041eb4e996bd5eacf3d99496143c974a8ca1bdb2;10.0
;042315168ca829d3477a4b4bb1a40bed205eb6ec;5.0
